Year,Month,Y/M,Median Sale Price,Location
2009,January,2009-01,159400,US
2009,February,2009-02,158000,US
2009,March,2009-03,156000,US
2009,April,2009-04,152000,US
2009,May,2009-05,148600,US
2009,June,2009-06,148000,US
2009,July,2009-07,149800,US
2009,August,2009-08,152100,US
2009,September,2009-09,153800,US
2009,October,2009-10,155400,US
2009,November,2009-11,156900,US
2009,December,2009-12,157700,US
2010,January,2010-01,158700,US
2010,February,2010-02,158900,US
2010,March,2010-03,159500,US
2010,April,2010-04,156900,US
2010,May,2010-05,154700,US
2010,June,2010-06,152100,US
2010,July,2010-07,152400,US
2010,August,2010-08,153000,US
2010,September,2010-09,154200,US
2010,October,2010-10,153800,US
2010,November,2010-11,153600,US
2010,December,2010-12,152600,US
2011,January,2011-01,152500,US
2011,February,2011-02,151600,US
2011,March,2011-03,148800,US
2011,April,2011-04,146100,US
2011,May,2011-05,143600,US
2011,June,2011-06,143900,US
2011,July,2011-07,145100,US
2011,August,2011-08,145500,US
2011,September,2011-09,145300,US
2011,October,2011-10,144900,US
2011,November,2011-11,145200,US
2011,December,2011-12,146100,US
2012,January,2012-01,145600,US
2012,February,2012-02,145700,US
2012,March,2012-03,145600,US
2012,April,2012-04,147300,US
2012,May,2012-05,148500,US
2012,June,2012-06,150400,US
2012,July,2012-07,152100,US
2012,August,2012-08,154400,US
2012,September,2012-09,155000,US
2012,October,2012-10,155800,US
2012,November,2012-11,156600,US
2012,December,2012-12,159300,US
2013,January,2013-01,160400,US
2013,February,2013-02,161100,US
2013,March,2013-03,161200,US
2013,April,2013-04,162400,US
2013,May,2013-05,164400,US
2013,June,2013-06,166300,US
2013,July,2013-07,169200,US
2013,August,2013-08,171500,US
2013,September,2013-09,172400,US
2013,October,2013-10,172300,US
2013,November,2013-11,170700,US
2013,December,2013-12,171200,US
2014,January,2014-01,170800,US
2014,February,2014-02,172000,US
2014,March,2014-03,171700,US
2014,April,2014-04,172100,US
2014,May,2014-05,172400,US
2014,June,2014-06,173200,US
2014,July,2014-07,174700,US
2014,August,2014-08,176400,US
2014,September,2014-09,177700,US
2014,October,2014-10,178000,US
2014,November,2014-11,178200,US
2014,December,2014-12,178900,US
2015,January,2015-01,180200,US
2015,February,2015-02,182200,US
2015,March,2015-03,183800,US
2015,April,2015-04,185700,US
2015,May,2015-05,186600,US
2015,June,2015-06,187400,US
2015,July,2015-07,188200,US
2015,August,2015-08,188300,US
2015,September,2015-09,188500,US
2015,October,2015-10,188000,US
2015,November,2015-11,187900,US
2015,December,2015-12,189500,US
2016,January,2016-01,190900,US
2016,February,2016-02,192200,US
2016,March,2016-03,191900,US
2016,April,2016-04,192600,US
2016,May,2016-05,193000,US
2016,June,2016-06,194400,US
2016,July,2016-07,195300,US
2016,August,2016-08,196900,US
2016,September,2016-09,197300,US
2016,October,2016-10,199100,US
2016,November,2016-11,200800,US
2016,December,2016-12,201900,US
2017,January,2017-01,202400,US
2017,February,2017-02,203200,US
2017,March,2017-03,204400,US
2017,April,2017-04,204800,US
2017,May,2017-05,204900,US
2017,June,2017-06,205500,US
2017,July,2017-07,206800,US
2017,August,2017-08,208000,US
2017,September,2017-09,210100,US
2017,October,2017-10,211400,US
2017,November,2017-11,213400,US
2017,December,2017-12,213600,US
2018,January,2018-01,216000,US
2018,February,2018-02,219900,US
2018,March,2018-03,223400,US
2018,April,2018-04,223800,US
2018,May,2018-05,221100,US
2018,June,2018-06,219900,US
2018,July,2018-07,219200,US
2018,August,2018-08,219300,US
2018,September,2018-09,219100,US
2018,October,2018-10,220400,US
2018,November,2018-11,222500,US
2018,December,2018-12,223800,US
2019,January,2019-01,226000,US
2019,February,2019-02,228300,US
2019,March,2019-03,230900,US
2019,April,2019-04,231500,US
2019,May,2019-05,231300,US
2019,June,2019-06,231900,US
2019,July,2019-07,232400,US
2019,August,2019-08,233100,US
2019,September,2019-09,233800,US
2019,October,2019-10,235900,US
2019,November,2019-11,239200,US
2019,December,2019-12,242100,US
